participant_id,theme_id,scenario_id,axis,modifier_text,mapped_modifier,method,score
P_F2_77353,SC004,SC004_1,authority_signal,,MOD_SC004_1_08,scenario_axis,1.0
P_F2_77353,SC005,SC005_1,self_preservation,,MOD_SC005_1_01,scenario_axis,1.0
P_F2_34529,SC001,SC001_1,time_pressure,,MOD_SC001_1_05,scenario_axis,1.0
P_F2_34529,SC002,SC002_1,diffused_responsibility,,MOD_SC002_1_06,scenario_axis,1.0
P_F2_34529,SC003,SC003_1,competence_uncertainty,,MOD_SC003_1_07,scenario_axis,1.0
P_F2_34529,SC004,SC004_1,authority_signal,,MOD_SC004_1_08,scenario_axis,1.0
P_F2_34529,SC005,SC005_1,self_preservation,,MOD_SC005_1_01,scenario_axis,1.0
P_F2_18754,SC001,SC001_1,time_pressure,,MOD_SC001_1_05,scenario_axis,1.0
P_F2_18754,SC002,SC002_1,diffused_responsibility,,MOD_SC002_1_06,scenario_axis,1.0
P_F2_18754,SC003,SC003_1,competence_uncertainty,,MOD_SC003_1_07,scenario_axis,1.0
P_F2_18754,SC004,SC004_1,authority_signal,,MOD_SC004_1_08,scenario_axis,1.0
P_F2_18754,SC005,SC005_1,self_preservation,,MOD_SC005_1_01,scenario_axis,1.0
P_F2_45878,SC001,SC001_1,time_pressure,,MOD_SC001_1_05,scenario_axis,1.0
P_F2_45878,SC002,SC002_1,diffused_responsibility,,MOD_SC002_1_06,scenario_axis,1.0
P_F2_45878,SC003,SC003_1,competence_uncertainty,,MOD_SC003_1_07,scenario_axis,1.0
P_F2_45878,SC004,SC004_1,authority_signal,,MOD_SC004_1_08,scenario_axis,1.0
P_F2_45878,SC005,SC005_1,self_preservation,,MOD_SC005_1_01,scenario_axis,1.0
P_F2_42930,SC001,SC001_1,time_pressure,,MOD_SC001_1_05,scenario_axis,1.0
P_F2_42930,SC002,SC002_1,diffused_responsibility,,MOD_SC002_1_06,scenario_axis,1.0
P_F2_42930,SC003,SC003_1,competence_uncertainty,,MOD_SC003_1_07,scenario_axis,1.0
P_F2_42930,SC004,SC004_1,authority_signal,,MOD_SC004_1_08,scenario_axis,1.0
P_F2_42930,SC005,SC005_1,self_preservation,,MOD_SC005_1_01,scenario_axis,1.0
P_F2_36231,SC001,SC001_1,time_pressure,,MOD_SC001_1_05,scenario_axis,1.0
P_F2_36231,SC002,SC002_1,diffused_responsibility,,MOD_SC002_1_06,scenario_axis,1.0
P_F2_36231,SC003,SC003_1,competence_uncertainty,,MOD_SC003_1_07,scenario_axis,1.0
P_F2_36231,SC004,SC004_1,authority_signal,,MOD_SC004_1_08,scenario_axis,1.0
